,,Datasets,Metadata-source,Owner,Formats,RDF,DCAT-AP,Fecha creacion,Update,Periodicidad,Open Data License,Datos secundarios,Proyecto al que pertenece
,Cartografía y caracterización de los usos del suelo y de la vegetación natural de Madrid del año 1982,https://datos.gob.es/es/catalogo/a13002908-cartografia-y-caracterizacion-de-los-usos-del-suelo-y-de-la-vegetacion-natural-de-madrid-del-ano-19821,Datos.gob.es,CAM,"JSON,SHP",http://datos.gob.es/apidata/catalog/dataset/a13002908-cartografia-y-caracterizacion-de-los-usos-del-suelo-y-de-la-vegetacion-natural-de-madrid-del-ano-19821.rdf,,15/03/2019,18/03/2019,sin definir,https://creativecommons.org/licenses/by/4.0/legalcode.es,,
,Ruta verde Madrid Rio,https://opendata.esri.es/datasets/crtm::ruta-verde-05-madrid-r%C3%ADo,Opendata.esri.es,CRTM,KML,https://www.arcgis.com/sharing/rest/content/items/9d6ac82749bc4005a6bc115b496d7e65/data,,,13/05/2019,,si,,
,Altura de edificios u otros elementos que generen sombra. Datos altimétricos,https://geoportal.madrid.es/IDEAM_WBGEOPORTAL/dataset.iam?id=383a5215-198d-11e9-97d2-ecb1d753f6e8,Geoportal Ayto Madrid,Ayuntamiento de Madrid,XML,https://geoportal.madrid.es/IDEAM_WBGEOPORTAL/dcat?id=383a5215-198d-11e9-97d2-ecb1d753f6e8,,27/07/2016,,,https://datos.madrid.es/egob/catalogo/aviso-legal,,Itinerarios Habitables (?)
,Sombras de edificios u otros elementos,https://geoportal.madrid.es/IDEAM_WBGEOPORTAL/dataset.iam?id=e2e60c06-7597-11ea-818e-ecb1d753f6e8,Geoportal Ayto Madrid,Ayuntamiento de Madrid,XML,https://geoportal.madrid.es/IDEAM_WBGEOPORTAL/dcat?id=e2e60c06-7597-11ea-818e-ecb1d753f6e8,,26/07/2016,,,https://datos.madrid.es/egob/catalogo/aviso-legal,,Itinerarios Habitables (?)
,Imagen de satelite 2020 primavera,https://www-2.munimadrid.es/IDEAM_WBGEOPORTAL/dataset.iam?id=0a1c036a-ba87-7777-916b-40a8f0462086,Geoportal Ayto Madrid,Ayuntamiento de Madrid,"WMS,SHP",https://www-2.munimadrid.es/IDEAM_WBGEOPORTAL/dcat?id=0a1c036a-ba87-7777-916b-40a8f0462086,,29/4/2020,29/04/2020,sin definir,https://datos.madrid.es/egob/catalogo/aviso-legal,https://www-2.munimadrid.es/IDEAM_WBGEOPORTAL/xml?id=0a1c036a-ba87-7777-916b-40a8f0462086,MGDS
,"Tipo de cobertura del suelo (asfalto, hierba...)",,,,,,,,,,,,
,,,,,,,,,,,,,
Calidad del aire,,,,,,,,,,,,,
,Estaciones de control,https://datos.madrid.es/portal/site/egob/menuitem.c05c1f754a33a9fbe4b2e4b284f1a5a0/?vgnextoid=9e42c176313eb410VgnVCM1000000b205a0aRCRD&vgnextchannel=374512b9ace9f310VgnVCM100000171f5a0aRCRD&vgnextfmt=default,Datos Abiertos Ayto Madrid,Ayuntamiento de Madrid,"XLS,CSV,GEO",https://datos.madrid.es/egob/catalogo/212629-0-estaciones-control-aire.dcat,https://datos.madrid.es/egob/catalogo/212629-0-estaciones-control-aire.dcat,04/03/2015,28/05/2019,anual,https://datos.madrid.es/egob/catalogo/aviso-legal,http://gestiona.madrid.org/azul_internet/run/j/AvisosAccion.icm,MGDS
,"Calidad del aire , episodios de alta contaminacion atmosferica por ozono",https://datos.madrid.es/sites/v/index.jsp?vgnextoid=af9140c2df29e610VgnVCM1000001d4a900aRCRD&vgnextchannel=374512b9ace9f310VgnVCM100000171f5a0aRCRD,Datos Abiertos Ayto Madrid,Ayuntamiento de Madrid,CSV,http://datos.gob.es/apidata/catalog/dataset/l01280796-calidad-del-aire-episodios-de-alta-contaminacion-atmosferica-por-ozono1.rdf,https://datos.madrid.es/egob/catalogo/300402-0-calidad-aire-episodios-ozono.dcat,22/11/2019,22/11/2019,tiempo real,https://datos.madrid.es/egob/catalogo/aviso-legal,https://datos.madrid.es/FWProjects/egob/Catalogo/MedioAmbiente/Aire/Ficheros/ESTRUCTURA_episodios%20Ozono_2019.pdf,MGDS
,Mapa de zonificacion de la red  de calidad de aire en la comunidad de madrid,https://datos.comunidad.madrid/catalogo/dataset/spacmzoncalidadaire2017,Datos Abiertos CAM,CAM,"JSON,WMS,SHP",,,15/03/2019,18/03/2019,sin definir,https://creativecommons.org/licenses/by/4.0/legalcode.es,,
,Covid-19 calidad del aire,https://datos.gob.es/en/catalogo/l01280796-covid-19-calidad-del-aire-datos-diarios-con-actualizacion-semanal,Datos.gob.es,Ayuntamiento de Madrid,"XLS,CSV,GEO",http://datos.gob.es/apidata/catalog/dataset/l01280796-covid-19-calidad-del-aire-datos-diarios-con-actualizacion-semanal.rdf,,04/05/2020,30/06/2020,semanal,https://datos.madrid.es/egob/catalogo/aviso-legal,,
,Calidad del aire. Datos diarios años 2001 a 2020,https://datos.madrid.es/sites/v/index.jsp?vgnextoid=f3c0f7d512273410VgnVCM2000000c205a0aRCRD&vgnextchannel=374512b9ace9f310VgnVCM100000171f5a0aRCRD,Datos Abiertos Ayto Madrid,Ayuntamiento de Madrid,CSV,https://www.europeandataportal.eu/data/api/metrics/https-datos-madrid-es-egob-catalogo-201410-0-calidad-aire-diario.rdf?useNormalizedId=true&locale=en,https://datos.madrid.es/egob/catalogo/201200-0-calidad-aire-horario.dcat,09/01/2014,13/09/2020,mensual,https://datos.madrid.es/egob/catalogo/aviso-legal,https://datos.madrid.es/FWProjects/egob/Catalogo/MedioAmbiente/Aire/Ficheros/Interprete_ficheros_%20calidad_%20del_%20aire_global.pdf,MGDS
,Red de calidad del aire en la CAM,http://datos.comunidad.madrid/catalogo/dataset/calidad_aire_datos_mes,Datos Abiertos CAM,CAM,"CSV, JASON, PDF",,,08/03/2019,13/10/2020,mensual,https://creativecommons.org/licenses/by/4.0/legalcode.es,https://idem.madrid.org/visor/?v=calidadaire,
